Procedure Description,Patient Class (Inpatient/Outpatient),Code,Quantity,Rev Code,Gross Charge,Discounted Cash Price (Uninsured Discount 35%),Derived Negotiated Rate Estimate Min,Derived Negotiated Rate Estimate Max,Derived Negotiated Rate Estimate Min.1,Derived Negotiated Rate Estimate Max.1,Derived Negotiated Rate Estimate Min.2,Derived Negotiated Rate Estimate Max.2,HCPCS,HCPCS description
Hc Therapeutic Radiation Simulation Intermediate,Outpatient,CPT® 77285,1,0333 - RADIATION THERAPY,2381.0,1547.65,1966.71,2192.9,380.96,452.39,339.76,339.76,77285,Set radiation therapy field
Hc Therapeutic Radiation Simulation Complex,Outpatient,CPT® 77290,1,0333 - RADIATION THERAPY,4837.0,3144.05,3995.36,4454.88,773.9200000000001,919.03,339.76,339.76,77290,Set radiation therapy field
Hc Resp Motion Mgmt Simulation,Outpatient,CPT® 77293,1,0333 - RADIATION THERAPY,3414.0,2219.1,2819.96,3144.29,546.24,648.66,,,77293,Respirator motion mgmt simul
Hc Therapeutic Radiation Simulation 3d,Outpatient,CPT® 77295,1,0333 - RADIATION THERAPY,6312.0,4102.8,5213.71,5813.35,1009.9200000000001,1199.28,1266.2,1266.2,77295,3-d radiotherapy plan
Hc Radiation Dosimetry Basic,Outpatient,CPT® 77300,1,0333 - RADIATION THERAPY,2235.0,1452.75,1846.11,2058.44,357.6,424.65,127.27,127.27,77300,Radiation therapy dose plan
Hc Imrt Planning,Outpatient,CPT® 77301,1,0333 - RADIATION THERAPY,16172.0,10511.800000000001,13358.07,14894.41,2587.52,3072.68,1266.2,1266.2,77301,Radiotherapy dose plan imrt
Hc Tele Isodose Plan Simple Incl Dosim,Outpatient,CPT® 77306,1,0333 - RADIATION THERAPY,8649.0,5621.85,7144.07,7965.73,1383.84,1643.31,339.76,339.76,77306,Telethx isodose plan simple
Hc Tele Isodose Plan Complex Incl Dosim,Outpatient,CPT® 77307,1,0333 - RADIATION THERAPY,10649.0,6921.85,8796.07,9807.73,1703.8400000000001,2023.31,339.76,339.76,77307,Telethx isodose plan cplx
Hc Isodose Brachy Simple Incl Dosim,Outpatient,CPT® 77316,1,0333 - RADIATION THERAPY,3945.0,2564.25,3258.57,3633.35,631.2,749.55,339.76,339.76,77316,Brachytx isodose plan simple
Hc Isodose Brachy Interm Incl Dosim,Outpatient,CPT® 77317,1,0333 - RADIATION THERAPY,6878.0,4470.7,5681.23,6334.64,1100.48,1306.82,,,77317,Brachytx isodose intermed
Hc Isodose Brachy Complex Incl Dosim,Outpatient,CPT® 77318,1,0333 - RADIATION THERAPY,6878.0,4470.7,5681.23,6334.64,1100.48,1306.82,339.76,339.76,77318,Brachytx isodose complex
Hc Special Teletherapy Port Plan,Outpatient,CPT® 77321,1,0333 - RADIATION THERAPY,6254.0,4065.1000000000004,5165.8,5759.93,1000.64,1188.26,339.76,339.76,77321,Special teletx port plan
Hc Dosimetry Special,Outpatient,CPT® 77331,1,0333 - RADIATION THERAPY,875.0,568.75,722.75,805.88,140.0,166.25,127.27,127.27,77331,Special radiation dosimetry
Hc Treatment Devices Desgn And Cnstrct Simple,Outpatient,CPT® 77332,1,0333 - RADIATION THERAPY,1423.0,924.95,1175.4,1310.58,227.68,270.37,127.27,127.27,77332,Radiation treatment aid(s)
Hc Treatment Devices Desgn And Cnstrct Intermediate,Outpatient,CPT® 77333,1,0333 - RADIATION THERAPY,1423.0,924.95,1175.4,1310.58,227.68,270.37,127.27,127.27,77333,Radiation treatment aid(s)
Hc Treatment Devices Desgn And Cnstrct Complex,Outpatient,CPT® 77334,1,0333 - RADIATION THERAPY,1423.0,924.95,1175.4,1310.58,227.68,270.37,339.76,339.76,77334,Radiation treatment aid(s)
Hc Medical Physics Consult Continuing,Outpatient,CPT® 77336,1,0333 - RADIATION THERAPY,1960.0,1274.0,1618.96,1805.16,313.6,372.4,127.27,127.27,77336,Radiation physics consult
Hc Mlc Imrt Device Desgn And Cnstrct,Outpatient,CPT® 77338,1,0333 - RADIATION THERAPY,1378.0,895.7,1138.23,1269.14,220.48000000000002,261.82,339.76,339.76,77338,Design mlc device for imrt
Hc Medical Physics Special Consultation,Outpatient,CPT® 77370,1,0333 - RADIATION THERAPY,2607.0,1694.55,2153.38,2401.05,417.12,495.33,127.27,127.27,77370,Radiation physics consult
Hc Stereotactic Radiosurgery,Outpatient,CPT® 77372,1,0333 - RADIATION THERAPY,5926.0,3851.9,4894.88,5457.85,948.16,1125.94,7797.51,7797.51,77372,Srs linear based
Hc Stereotactic Radiotx 1-5 Sources,Outpatient,CPT® 77373,1,0333 - RADIATION THERAPY,4063.0,2640.9500000000003,3356.04,3742.02,650.08,771.97,1739.26,1739.26,77373,Sbrt delivery
Hc Imrt Simple Incl Image Guidance,Outpatient,CPT® 77385,1,0333 - RADIATION THERAPY,3271.0,2126.15,2701.85,3012.59,523.36,621.49,544.28,544.28,77385,Ntsty modul rad tx dlvr smpl
Hc Imrt Complex Incl Image Guidance,Outpatient,CPT® 77386,1,0333 - RADIATION THERAPY,3271.0,2126.15,2701.85,3012.59,523.36,621.49,544.28,544.28,77386,Ntsty modul rad tx dlvr cplx
Hc Rad Trt Guidance Incl Intrafraction,Outpatient,CPT® 77387,1,0333 - RADIATION THERAPY,1338.0,869.7,1105.19,1232.3,214.08,254.22,,,77387,Guidance for radj tx dlvr
Hc Radiation Trtmnt Delivery Simple,Outpatient,CPT® 77402,1,0333 - RADIATION THERAPY,1507.0,979.5500000000001,1244.78,1387.95,241.12,286.33,120.92,120.92,77402,Radiation treatment delivery
Hc Radiation Trtmnt Delivery Intermed,Outpatient,CPT® 77407,1,0333 - RADIATION THERAPY,1507.0,979.5500000000001,1244.78,1387.95,241.12,286.33,242.45,242.45,77407,Radiation treatment delivery
Hc Radiation Trtmnt Delivery; Complex,Outpatient,CPT® 77412,1,0333 - RADIATION THERAPY,1651.0,1073.15,1363.73,1520.57,264.16,313.69,242.45,242.45,77412,Radiation treatment delivery
Hc Therapeutic Radiology Port Film(s),Outpatient,CPT® 77417,1,0333 - RADIATION THERAPY,678.0,440.7,560.03,624.44,108.48,128.82,,,77417,Radiology port images(s)
Hc Special Treatment Procedure,Outpatient,CPT® 77470,1,0333 - RADIATION THERAPY,3414.0,2219.1,2819.96,3144.29,546.24,648.66,544.28,544.28,77470,Special radiation treatment
Hc Hyperthermia Ext Generated Deep,Outpatient,CPT® 77605,1,0333 - RADIATION THERAPY,5338.0,3469.7000000000003,4409.19,4916.3,854.08,1014.22,,,77605,Hyperthermia treatment
"Hc Hdr Interstitial Or Intracavitar 1 Channel, Incl Dosimetry",Outpatient,CPT® 77770,1,0333 - RADIATION THERAPY,8285.0,5385.25,6843.41,7630.49,1325.6000000000001,1574.15,710.72,710.72,77770,Hdr rdncl ntrstl/icav brchtx
"Hc Hdr Interstitial Or Intracavitary, 2-12 Channels, Incl Dosimetry",Outpatient,CPT® 77771,1,0333 - RADIATION THERAPY,8285.0,5385.25,6843.41,7630.49,1325.6000000000001,1574.15,710.72,710.72,77771,Hdr rdncl ntrstl/icav brchtx
"Hc Hdr Interstitial Or Intracavitary, >12 Channels, Incl Dosimetry",Outpatient,CPT® 77772,1,0333 - RADIATION THERAPY,8285.0,5385.25,6843.41,7630.49,1325.6000000000001,1574.15,,,77772,Hdr rdncl ntrstl/icav brchtx
Hc Interstitial Radiation Source Application Complex,Outpatient,CPT® 77778,1,0333 - RADIATION THERAPY,3993.0,2595.4500000000003,3298.22,3677.55,638.88,758.67,710.72,710.72,77778,Apply interstit radiat compl
Hc Unlisted Procedure Clinical Brachytherapy,Outpatient,CPT® 77799,1,0333 - RADIATION THERAPY,1314.0,854.1,1085.36,1210.19,210.24,249.66,,,77799,Radium/radioisotope therapy
Hc Thyroid Uptake Single Or Mult,Outpatient,CPT® 78012,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,1564.0,1016.6,1291.86,1440.44,250.24,297.16,378.32,378.32,78012,Thyroid uptake measurement
Hc Thyroid Imaging W Vascular Flow,Outpatient,CPT® 78013,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,1055.0,685.75,871.43,971.66,168.8,200.45,378.32,378.32,78013,Thyroid imaging w/blood flow
Hc Thyroid Imaging W Uptake(s),Outpatient,CPT® 78014,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,2435.0,1582.75,2011.31,2242.64,389.6,462.65,378.32,378.32,78014,Thyroid imaging w/blood flow
Hc Thyroid Ca Mets Imaging Whole Body,Outpatient,CPT® 78018,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,2668.0,1734.2,2203.77,2457.23,426.88,506.92,490.96,490.96,78018,Thyroid met imaging body
Hc Thyroid Ca Mets Uptake,Outpatient,CPT® 78020,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,591.0,384.15000000000003,488.17,544.31,94.56,112.29,,,78020,Thyroid met uptake
Hc Parathyroid Planar Imaging,Outpatient,CPT® 78070,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,2877.0,1870.05,2376.4,2649.72,460.32,546.63,,,78070,Parathyroid planar imaging
Hc Parathyroid Planar Imaging W Spect,Outpatient,CPT® 78071,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,3614.0,2349.1,2985.16,3328.49,578.24,686.66,378.32,378.32,78071,Parathyrd planar w/wo subtrj
Hc Parathyroid Planar Imaging W Spect And Ct,Outpatient,CPT® 78072,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,3614.0,2349.1,2985.16,3328.49,578.24,686.66,490.96,490.96,78072,Parathyrd planar w/spect&ct
Hc Adrenal Scan,Outpatient,CPT® 78075,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,3072.0,1996.8000000000002,2537.47,2829.31,491.52,583.6800000000001,1310.1,1310.1,78075,Adrenal cortex & medulla img
Hc Bone Marrow Imaging Limited,Outpatient,CPT® 78102,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,1791.0,1164.15,1479.37,1649.51,286.56,340.29,378.32,378.32,78102,Bone marrow imaging ltd
Hc Bone Marrow Imaging Mult Images,Outpatient,CPT® 78103,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,1791.0,1164.15,1479.37,1649.51,286.56,340.29,378.32,378.32,78103,Bone marrow imaging mult
Hc Bone Marrow Imaging Whole Body,Outpatient,CPT® 78104,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,1791.0,1164.15,1479.37,1649.51,286.56,340.29,378.32,378.32,78104,Bone marrow imaging body
RED CELL SEQUESTATION,Outpatient,CPT® 78140,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,1150.0,747.5,949.9,1059.15,184.0,218.5,,,78140,Red cell sequestration
Hc Lymphoscintigram,Outpatient,CPT® 78195,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,1715.0,1114.75,1416.59,1579.52,274.40000000000003,325.85,490.96,490.96,78195,Lymph system imaging
Hc Liver Imaging Static Only,Outpatient,CPT® 78201,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,2288.0,1487.2,1889.89,2107.25,366.08,434.72,490.96,490.96,78201,Liver imaging
Hc Liver Imaging W Vascular Flow,Outpatient,CPT® 78202,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,2288.0,1487.2,1889.89,2107.25,366.08,434.72,,,78202,Liver imaging with flow
Hc Liver And Spleen Imaging Static Only,Outpatient,CPT® 78215,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,2161.0,1404.65,1784.99,1990.28,345.76,410.59000000000003,378.32,378.32,78215,Liver and spleen imaging
Hc Hepatobiliary System Imaging,Outpatient,CPT® 78226,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,3234.0,2102.1,2671.28,2978.51,517.44,614.46,378.32,378.32,78226,Hepatobiliary system imaging
Hc Hepatobiliary System Imaging W Pharm Intervention,Outpatient,CPT® 78227,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,6103.0,3966.9500000000003,5041.08,5620.86,976.48,1159.57,490.96,490.96,78227,Hepatobil syst image w/drug
Hc Salivary Gland Imaging,Outpatient,CPT® 78230,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,2739.0,1780.3500000000001,2262.41,2522.62,438.24,520.41,,,78230,Salivary gland imaging
Hc Gastric Emptying Study,Outpatient,CPT® 78264,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,3433.0,2231.4500000000003,2835.66,3161.79,549.28,652.27,378.32,378.32,78264,Gastric emptying imag study
Hc Gastric Emptying Img Study W Small Bowel Transit,Outpatient,CPT® 78265,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,3433.0,2231.4500000000003,2835.66,3161.79,549.28,652.27,,,78265,Gastric emptying imag study
Hc Gastric Emptying Img Study W Sm Bowel Colon Trans Mult Days,Outpatient,CPT® 78266,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,3433.0,2231.4500000000003,2835.66,3161.79,549.28,652.27,,,78266,Gastric emptying imag study
Hc Gi Bleed Scan,Outpatient,CPT® 78278,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,4307.0,2799.55,3557.58,3966.75,689.12,818.33,378.32,378.32,78278,Acute gi blood loss imaging
Hc Intestine Imaging Meckels Gastric Mucosa,Outpatient,CPT® 78290,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,3729.0,2423.85,3080.15,3434.41,596.64,708.51,378.32,378.32,78290,Meckels divert exam
Hc Shunt Patency Test,Outpatient,CPT® 78291,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,1181.0,767.65,975.51,1087.7,188.96,224.39000000000001,378.32,378.32,78291,Leveen/shunt patency exam
Hc Bone Imaging Limited,Outpatient,CPT® 78300,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,1789.0,1162.8500000000001,1477.71,1647.67,286.24,339.91,378.32,378.32,78300,Bone imaging limited area
Hc Bone Imaging Multiple Areas,Outpatient,CPT® 78305,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,1789.0,1162.8500000000001,1477.71,1647.67,286.24,339.91,378.32,378.32,78305,Bone imaging multiple areas
Hc Bone Imaging Whole Body,Outpatient,CPT® 78306,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,2365.0,1537.25,1953.49,2178.17,378.40000000000003,449.35,378.32,378.32,78306,Bone imaging whole body
Hc Bone Imaging Phase 3 Study,Outpatient,CPT® 78315,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,2196.0,1427.4,1813.9,2022.52,351.36,417.24,378.32,378.32,78315,Bone imaging 3 phase
Hc Cardiac Shunt Detection,Outpatient,CPT® 78428,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,1855.0,1205.75,1532.23,1708.46,296.8,352.45,,,78428,Cardiac shunt imaging
Hc Pet Myo Metabolic Eval Single Study W Ct,Outpatient,CPT® 78429,1,0404 - PET,1470.0,955.5,1214.22,1353.87,235.20000000000002,279.3,,,78429,Myocrd img pet 1 std w/ct
PET MYO PERF SINGLE RST OR ST W CT,Outpatient,CPT® 78430,1,0404 - PET,2282.0,1483.3,1884.93,2101.72,365.12,433.58,1485.05,1485.05,78430,Myocrd img pet rst/strs w/ct
Hc Pet Myo Perf Multi Rst And St W Ct,Outpatient,CPT® 78431,1,0404 - PET,2434.0,1582.1000000000001,2010.48,2241.71,389.44,462.46,2257.67,2257.67,78431,Myocrd img pet rst&strs ct
Hc Pet Myo Perf And Metabolic Eval Study Dual Radiotracer W Ct,Outpatient,CPT® 78433,1,0404 - PET,4290.0,2788.5,3543.54,3951.09,686.4,815.1,2759.26,2759.26,78433,Myocrd img pet 2rtracer ct
Hc Pet Absolute Quantitation Myocardial Blood Flow Rst And St Add On,Outpatient,CPT® 78434,1,0404 - PET,397.0,258.05,327.92,365.64,63.52,75.43,,,78434,Aqmbf pet rest & rx stress
Hc Noncardiac Vascular Flow Imaging,Outpatient,CPT® 78445,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,1947.0,1265.55,1608.22,1793.19,311.52,369.93,,,78445,Vascular flow imaging
Hc Myocard Perfusion Imaging Spect Single,Outpatient,CPT® 78451,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,2505.0,1628.25,2069.13,2307.11,400.8,475.95,1310.1,1310.1,78451,Ht muscle image spect sing
Hc Myocard Perfusion Imaging Spect Multiple,Outpatient,CPT® 78452,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,4500.0,2925.0,3717.0,4144.5,720.0,855.0,1310.1,1310.1,78452,Ht muscle image spect mult
Hc Myocard Perfusion Imaging Planar Single,Outpatient,CPT® 78453,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,2202.0,1431.3,1818.85,2028.04,352.32,418.38,,,78453,Ht muscle image planar sing
Hc Myocard Perfusion Imaging Planar Multiple,Outpatient,CPT® 78454,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,3520.0,2288.0,2907.52,3241.92,563.2,668.8,,,78454,Ht musc image planar mult
Hc Venous Thrombosis Imaging Bilateral,Outpatient,CPT® 78458,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,1947.0,1265.55,1608.22,1793.19,311.52,369.93,,,78458,Ven thrombosis images bilat
Hc Myocardial Imaging Infarct,Outpatient,CPT® 78466,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,1822.0,1184.3,1504.97,1678.06,291.52,346.18,,,78466,Heart infarct image
Hc Myocardial Imaging Infarct W Ejection Fraction,Outpatient,CPT® 78468,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,1822.0,1184.3,1504.97,1678.06,291.52,346.18,,,78468,Heart infarct image (ef)
Hc Myocardial Imaging Infarct Spect,Outpatient,CPT® 78469,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,1822.0,1184.3,1504.97,1678.06,291.52,346.18,,,78469,Heart infarct image (3d)
Hc Cardiac Blood Pool Gated Planar 1 Study Rest Or Stress,Outpatient,CPT® 78472,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,2804.0,1822.6000000000001,2316.1,2582.48,448.64,532.76,378.32,378.32,78472,Gated heart planar single
Hc Muga Multiple Studies Pre Post,Outpatient,CPT® 78473,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,2804.0,1822.6000000000001,2316.1,2582.48,448.64,532.76,,,78473,Gated heart multiple
Hc Cardiac Blood Pool 1st Pass 1 Study Rest Or Stress Wm Ef,Outpatient,CPT® 78481,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,2078.0,1350.7,1716.43,1913.84,332.48,394.82,,,78481,Heart first pass single
Hc Cardiac Blood Pool Gated Spect Rest Wm Ef,Outpatient,CPT® 78494,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,1855.0,1205.75,1532.23,1708.46,296.8,352.45,378.32,378.32,78494,Heart image spect
CARDIAC BLOOD POOLING RIGHT VENTRICULAR EJECTION FRACTION BY 1ST PASS ADD ON,Outpatient,CPT® 78496,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,400.0,260.0,330.4,368.4,64.0,76.0,,,78496,Heart first pass add-on
PULMONARY VENTILATION IMAGING,Outpatient,CPT® 78579,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,1076.0,699.4,888.78,991.0,172.16,204.44,378.32,378.32,78579,Lung ventilation imaging
Hc Pulm Perfusion Imaging Particulate,Outpatient,CPT® 78580,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,1150.0,747.5,949.9,1059.15,184.0,218.5,378.32,378.32,78580,Lung perfusion imaging
Hc Pulm Ventilation And Perfusion Imaging,Outpatient,CPT® 78582,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,2226.0,1446.9,1838.68,2050.15,356.16,422.94,490.96,490.96,78582,Lung ventilat&perfus imaging
Hc Quant Pulm Perfusion W Or Wo Imaging,Outpatient,CPT® 78597,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,2416.0,1570.4,1995.62,2225.14,386.56,459.04,378.32,378.32,78597,Lung perfusion differential
Hc Brain Imaging < 4 Static Views,Outpatient,CPT® 78600,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,1213.0,788.45,1001.94,1117.17,194.08,230.47,,,78600,Brain image < 4 views
Hc Brain Scan Ltmd W Flow,Outpatient,CPT® 78601,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,1213.0,788.45,1001.94,1117.17,194.08,230.47,,,78601,Brain image w/flow < 4 views
Hc Brain Imaging 4+ Static Views,Outpatient,CPT® 78605,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,1563.0,1015.95,1291.04,1439.52,250.08,296.97,,,78605,Brain image 4+ views
Hc Brain Imaging 4+ Views W Vascular Flow,Outpatient,CPT® 78606,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,1563.0,1015.95,1291.04,1439.52,250.08,296.97,,,78606,Brain image w/flow 4 + views
Hc Brain Imaging Pet Metabolic Eval,Outpatient,CPT® 78608,1,0404 - PET,5880.0,3822.0,4856.88,5415.48,940.8000000000001,1117.2,1485.05,1485.05,78608,Brain imaging (pet)
Hc Brain Imaging Vascular Flow Only,Outpatient,CPT® 78610,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,998.0,648.7,824.35,919.16,159.68,189.62,,,78610,Brain flow imaging only
Hc Cisternography,Outpatient,CPT® 78630,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,1089.0,707.85,899.51,1002.97,174.24,206.91,490.96,490.96,78630,Cerebrospinal fluid scan
Hc Shunt Evaluation Csf,Outpatient,CPT® 78645,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,998.0,648.7,824.35,919.16,159.68,189.62,490.96,490.96,78645,Csf shunt evaluation
Hc Csf Leak Detection,Outpatient,CPT® 78650,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,2416.0,1570.4,1995.62,2225.14,386.56,459.04,1310.1,1310.1,78650,Csf leakage imaging
Hc Kidney Imaging,Outpatient,CPT® 78700,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,1947.0,1265.55,1608.22,1793.19,311.52,369.93,,,78700,Kidney imaging morphol
Hc Kidney Imaging W Vascular Flow,Outpatient,CPT® 78701,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,1947.0,1265.55,1608.22,1793.19,311.52,369.93,,,78701,Kidney imaging with flow
Hc Kidney Imaging W Flow And Function,Outpatient,CPT® 78707,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,2306.0,1498.9,1904.76,2123.83,368.96,438.14,490.96,490.96,78707,K flow/funct image w/o drug
Hc Kidney Imaging W Flow And Funct W Rx Intervention Sgl,Outpatient,CPT® 78708,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,2306.0,1498.9,1904.76,2123.83,368.96,438.14,490.96,490.96,78708,K flow/funct image w/drug
Hc Kidney Imaging W Flow And Funct W Rx Intervention Mult,Outpatient,CPT® 78709,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,4153.0,2699.4500000000003,3430.38,3824.91,664.48,789.07,,,78709,K flow/funct image multiple
Hc Voiding Cystogram,Outpatient,CPT® 78740,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,3641.0,2366.65,3007.47,3353.36,582.5600000000001,691.79,378.32,378.32,78740,Ureteral reflux study
Hc Testicular Imaging W Vasc Flow,Outpatient,CPT® 78761,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,1561.0,1014.6500000000001,1289.39,1437.68,249.76000000000002,296.59000000000003,378.32,378.32,78761,Testicular imaging w/flow
TUMOR OR INFLAM PROCESS LOCALIZATION PLANAR SINGLE AREA 1 DAY,Outpatient,CPT® 78800,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,2840.0,1846.0,2345.84,2615.64,454.40000000000003,539.6,378.32,378.32,78800,Rp loclzj tum 1 area 1 d img
TUMOR LOCAHC TUMOR OR INFLAM PROCESS LOCALIZATION PLANAR MULTI AREA OR SINGLE AREA 2+ DAYSLIZATION MULTIPLE AREAS,Outpatient,CPT® 78801,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,2840.0,1846.0,2345.84,2615.64,454.40000000000003,539.6,378.32,378.32,78801,Rp loclzj tum 2+area 1+d img
TUMOR OR INFLAM PROCESS LOCALIZATION PLANAR WHOLE BODY 1 DAY,Outpatient,CPT® 78802,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,3103.0,2016.95,2563.08,2857.86,496.48,589.57,1310.1,1310.1,78802,Rp loclzj tum whbdy 1 d img
TUMOR OR INFLAM PROCESS LOCALIZATION SPECT SINGLE AREA 1 DAY,Outpatient,CPT® 78803,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,3103.0,2016.95,2563.08,2857.86,496.48,589.57,1310.1,1310.1,78803,Rp loclzj tum spect 1 area
Hc Tumor Localization Whole Body 2 + Days,Outpatient,CPT® 78804,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,6104.0,3967.6,5041.9,5621.78,976.64,1159.76,1310.1,1310.1,78804,Rp loclzj tum whbdy 2+d img
Hc Inj Non Img Loclztn Probe Study Parathyroid,Outpatient,CPT® 78808,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,838.0,544.7,692.19,771.8,134.08,159.22,378.32,378.32,78808,Iv inj ra drug dx study
Hc Pet Imaging W Ct Limited Area,Outpatient,CPT® 78814,1,0404 - PET,5479.0,3561.35,4525.65,5046.16,876.64,1041.01,,,78814,Pet image w/ct lmtd
Hc Pet Imaging W Ct Skull Base To Mid Thigh,Outpatient,CPT® 78815,1,0404 - PET,6092.0,3959.8,5031.99,5610.73,974.72,1157.48,1485.05,1485.05,78815,Pet image w/ct skull-thigh
Hc Pet Imaging W Ct Whole Body,Outpatient,CPT® 78816,1,0404 - PET,8045.0,5229.25,6645.17,7409.45,1287.2,1528.55,1485.05,1485.05,78816,Pet image w/ct full body
TUMOR OR INFLAM PROCESS LOCALIZATION SPECT W CT SINGLE AREA 1 DAY,Outpatient,CPT® 78830,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,3103.0,2016.95,2563.08,2857.86,496.48,589.57,1310.1,1310.1,78830,Rp loclzj tum spect w/ct 1
TUMOR OR INFLAM PROCESS LOCALIZATION SPECT MULTI AREAS OR SINGLE AREA 2+ DAYS,Outpatient,CPT® 78831,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,3103.0,2016.95,2563.08,2857.86,496.48,589.57,,,78831,Rp loclzj tum spect 2 areas
TUMOR OR INFLAM PROCESS LOCALIZATION SPECT W CT MULTI AREAS OR SINGLE AREA 2+ DAYS,Outpatient,CPT® 78832,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,3103.0,2016.95,2563.08,2857.86,496.48,589.57,1485.05,1485.05,78832,Rp loclzj tum spect w/ct 2
Hc Radiopharm Quantification Measure Single Area Add On,Outpatient,CPT® 78835,1,0341 - NUCLEAR MEDICINE DIAGNOSTIC,2288.0,1487.2,1889.89,2107.25,366.08,434.72,,,78835,Rp quan meas single area
Hc Radiopharm Therapy Oral Administration,Outpatient,CPT® 79005,1,0342 - NUCLEAR MEDICINE THERAPEUTIC,2364.0,1536.6000000000001,1952.66,2177.24,378.24,449.16,250.41,250.41,79005,Nuclear rx oral admin
Hc Radiopharm Therapy Iv Administration,Outpatient,CPT® 79101,1,0342 - NUCLEAR MEDICINE THERAPEUTIC,2355.0,1530.75,1945.23,2168.96,376.8,447.45,250.41,250.41,79101,Nuclear rx iv admin
Hc Radiotherapy Radiolabeled Monoclonal Ab Iv,Outpatient,CPT® 79403,1,0342 - NUCLEAR MEDICINE THERAPEUTIC,4054.0,2635.1,3348.6,3733.73,648.64,770.26,,,79403,Hematopoietic nuclear tx
